codigo;region;nombre_comuna;poblacion;pobreza_n;pobreza_p;limite_inferior;limite_superior
9208;La Araucanía;Purén;12136;3,75324114070672e+03;0,30926509069765279;0,24506559318954951;0,3734645882057562
9209;La Araucanía;Renaico;10939;1,81802925401280e+03;0,16619702477491530;0,10916086105053190;0,2232331884992987
9210;La Araucanía;Traiguén;19278;4,07670484633700e+03;0,21146928344937230;0,15288286144544830;0,2700557054532963
9211;La Araucanía;Victoria;35534;6,87236923674281e+03;0,19340263513093969;0,13975543056362719;0,2470498396982523
10101;Los Lagos;Puerto Montt;276525;4,28563253153513e+04;0,15498173877714949;0,12559888370058681;0,1843645938537122
10102;Los Lagos;Calbuco;37293;1,23515863520409e+04;0,33120388148019608;0,27093731709923247;0,3914704458611599
10103;Los Lagos;Cochamó;3972;9,03032416698846e+02;0,22734955103193519;0,13554294066047101;0,3191561614033994
10104;Los Lagos;Fresia;12606;3,59990378522900e+03;0,28557066359106809;0,21231767703788940;0,3588236501442468
10105;Los Lagos;Frutillar;20589;4,18209560698071e+03;0,20312281349170480;0,14104316622011190;0,2652024607632977
10106;Los Lagos;Los Muermos;17826;5,20919756786942e+03;0,29222470368391218;0,21517924512674311;0,3692701622410813
10107;Los Lagos;Llanquihue;18775;3,37108343001847e+03;0,17955171398234190;0,12092791414308010;0,2381755138216037
10108;Los Lagos;Maullín;14796;4,46560550771479e+03;0,30181167259494363;0,22763361417624031;0,3759897310136470
10109;Los Lagos;Puerto Varas;50272;7,03635557684372e+03;0,13996569813899831;0,09073015357714721;0,1892012427008494
10201;Los Lagos;Castro;48336;8,80265744260754e+03;0,18211389942501521;0,13255311382159629;0,2316746850284341
10202;Los Lagos;Ancud;42489;9,75240025129921e+03;0,22952764836308720;0,17585312846350551;0,2832021682626689
10203;Los Lagos;Chonchi;16180;4,60244291525027e+03;0,28445259055934929;0,20958200278384936;0,3593231783348492
10204;Los Lagos;Curaco De Vélez;4109;1,08209143640760e+03;0,26334666254748129;0,17605836811603190;0,3506349569789308
10205;Los Lagos;Dalcahue;15316;4,37746153872213e+03;0,28580971132946797;0,21117664207229808;0,3604427805866380
10206;Los Lagos;Puqueldón;4192;1,01550494938874e+03;0,24224831807937519;0,17638657534745600;0,3081100608112944
10207;Los Lagos;Queilén;5544;1,62438448697796e+03;0,29299864483729349;0,20240759183742871;0,3835896978371583
10208;Los Lagos;Quellón;29791;8,91022117534222e+03;0,29909104009070581;0,23282809741728189;0,3653539827641297
10209;Los Lagos;Quemchi;8764;2,05196820490155e+03;0,23413603433381489;0,16379155486915359;0,3044805137984762
10210;Los Lagos;Quinchao;8223;2,07619319043868e+03;0,25248609880076378;0,17994759302058069;0,3250246045809469
10301;Los Lagos;Osorno;175275;2,49587315385631e+04;0,14239755549030450;0,10931474537264441;0,1754803656079645
10302;Los Lagos;Puerto Octay;9108;2,79447195305998e+03;0,30681510244400267;0,23569749590098080;0,3779327089870247
10303;Los Lagos;Purranque;21006;5,42182955228150e+03;0,25810861431407689;0,19015128613528048;0,3260659424928734
10304;Los Lagos;Puyehue;11806;2,82698458107726e+03;0,23945320862927849;0,17263508317473061;0,3062713340838263
10305;Los Lagos;Río Negro;14160;3,26080096814294e+03;0,23028255424738281;0,15428242022789590;0,3062826882668697
10306;Los Lagos;San Juan De La Costa;7521;2,92305971602738e+03;0,38865306688304457;0,31445504639688926;0,4628510873691998
10307;Los Lagos;San Pablo;10546;2,69285944375031e+03;0,25534415358906798;0,19201485544841329;0,3186734517297227
10401;Los Lagos;Chaitén;5052;1,24779254698129e+03;0,24698981531696160;0,16456394840741559;0,3294156822265076
10402;Los Lagos;Futaleufú;2872;6,52699676805726e+02;0,22726311866494639;0,14502379749488353;0,3095024398350092
10403;Los Lagos;Hualaihué;9556;2,50214371086544e+03;0,26184007020358269;0,17774705258730741;0,3459330878198579
10404;Los Lagos;Palena;1821;3,73705358829754e+02;0,20521985657866759;0,12904230155344121;0,2813974116038940
11101;Aysén;Coyhaique;61766;8,62356026189891e+03;0,13961662179676371;0,12311014871522108;0,1561230948783063
11102;Aysén;Lago Verde;913;1,63896262902717e+02;0,17951397908293171;0,09708257037754106;0,2619453877883224
11201;Aysén;Aysén;25100;3,21207104163445e+03;0,12797095783404169;0,10081844053621400;0,1551234751318694
11202;Aysén;Cisnes;5862;7,21078508907828e+02;0,12300895750730600;0,08002383528534431;0,1659940797292676
11203;Aysén;Guaitecas;1606;3,55800402745269e+02;0,22154445999082789;0,12957574304158689;0,3135131769400689
11301;Aysén;Cochrane;3722;5,34091953519894e+02;0,14349595742071311;0,08528735264311157;0,2017045621983146
11302;Aysén;O’higgins;672;8,13959190829551e+01;0,12112487958773080;0,02784671495755926;0,2144030442179023
11303;Aysén;Tortel;574;7,05750448161180e+01;0,12295303974933459;0,05185972717473840;0,1940463523239307
11401;Aysén;Chile Chico;5143;8,40664953714045e+02;0,16345808938635920;0,08370295824940643;0,2432132205233119
11402;Aysén;Río Ibáñez;2705;5,09715007100725e+02;0,18843438340137711;0,09412906185296695;0,2827397049497872
12101;Magallanes;Punta Arenas;144415;1,02205106676508e+04;0,07077180810615799;0,06139509321627994;0,0801485229960360
12102;Magallanes;Laguna Blanca;257;9,06748124647183e-01;0,00352820281963884;0,00000000000000000;0,0214319371081734
12103;Magallanes;Río Verde;207;2,34563753963177e-01;0,00113315823170617;0,00000000000000000;0,0146021921032768
12104;Magallanes;San Gregorio;662;6,22301450131148e+01;0,09400324020107977;0,00122052486591613;0,1867859555362434
12201;Magallanes;Cabo De Hornos;1977;3,12270590459508e+01;0,01579517402425431;0,00000000000000000;0,0443888738142355
12301;Magallanes;Porvenir;7528;9,34972010571593e+02;0,12419925751482370;0,08981543549050716;0,1585830795391403
12302;Magallanes;Primavera;684;5,44943346481889e+01;0,07967007989501303;0,02229923987327810;0,1370409199167479
12303;Magallanes;Timaukel;265;9,08264240126038e+00;0,03427412226890711;0,00000000000000000;0,0782941036715692
12401;Magallanes;Natales;24339;1,12296236955432e+03;0,04613839391734730;0,02108152674548261;0,0711952610892120
12402;Magallanes;Torres Del Paine;1057;3,52394074608023e+01;0,03333907990615170;0,00000000000000000;0,0855459087761549
13101;Metropolitana;Santiago;530538;8,73550628037902e+04;0,16465373414117401;0,10876516688027200;0,2205423014020760
13102;Metropolitana;Cerrillos;89907;2,02773975872184e+04;0,22553747302455210;0,15850081382998940;0,2925741322191148
13103;Metropolitana;Cerro Navia;141122;3,24902610708276e+04;0,23022817895741010;0,16209139563990391;0,2983649622749164
13104;Metropolitana;Conchalí;138230;2,58769181844140e+04;0,18720189672584800;0,12380118689658752;0,2506026065551085
13105;Metropolitana;El Bosque;170902;2,98691924392216e+04;0,17477380275960230;0,11949558351502840;0,2300520220041761
13106;Metropolitana;Estación Central;218525;4,98491273164745e+04;0,22811635884440928;0,17007455575321609;0,2861581619356025
13107;Metropolitana;Huechuraba;116377;2,16978230273691e+04;0,18644425468407969;0,12522402909925900;0,2476644802689003
13108;Metropolitana;Independencia;150807;3,38058275010702e+04;0,22416616934936831;0,15688549280079531;0,2914468458979414
13109;Metropolitana;La Cisterna;101315;1,36499592539157e+04;0,13472792038608011;0,07852809004030531;0,1909277507318549
13110;Metropolitana;La Florida;406402;5,34672361454792e+04;0,13156243361371053;0,09210912431468017;0,1710157429127408
13111;Metropolitana;La Granja;120772;2,69424070283163e+04;0,22308487917991199;0,15703911644787291;0,2891306419119511
13112;Metropolitana;La Pintana;189224;5,10871669768116e+04;0,26998249152756310;0,21280748132618149;0,3271575017289447
13113;Metropolitana;La Reina;99946;4,89539135833092e+03;0,04898036297931806;0,01471340609587828;0,0832473198627578
13114;Metropolitana;Las Condes;339547;1,50493242942991e+04;0,04432177075426694;0,01884653643942950;0,0697970050691044
13115;Metropolitana;Lo Barnechea;128997;1,40451976457484e+04;0,10888003322362852;0,06393626697367952;0,1538237994735775
13116;Metropolitana;Lo Espejo;102145;2,93980032109211e+04;0,28780658094787859;0,21518640722143928;0,3604267546743178
13117;Metropolitana;Lo Prado;103390;1,99782284580553e+04;0,19323172896852009;0,12624531434600139;0,2602181435910388
13118;Metropolitana;Macul;137336;1,84665279101471e+04;0,13446239813411681;0,08102906299390829;0,1878957332743254
13119;Metropolitana;Maipú;585951;8,69756794080600e+04;0,14843507291234251;0,11227794482555500;0,1845922009991300
13120;Metropolitana;Ñuñoa;261138;1,34964107975502e+04;0,05168305952236073;0,01834256589269396;0,0850235531520275
13121;Metropolitana;Pedro Aguirre Cerda;106065;2,13976291255079e+04;0,20174071678223621;0,13954205769699249;0,2639393758674798
13122;Metropolitana;Peñalolén;271089;4,51196931268305e+04;0,16643867190048481;0,11274876408498030;0,2201285797159893
13123;Metropolitana;Providencia;162013;7,00414239583040e+03;0,04323197765506720;0,01521777858474536;0,0712461767253890
13124;Metropolitana;Pudahuel;259195;4,37437089336412e+04;0,16876756470472479;0,12023497895714901;0,2173001504523006
13125;Metropolitana;Quilicura;268706;4,58067244707379e+04;0,17047153569603160;0,11748493101388760;0,2234581403781755
13126;Metropolitana;Quinta Normal;140381;2,76279265478852e+04;0,19680673700775150;0,13761116454221867;0,2560023094732843
13127;Metropolitana;Recoleta;195514;4,13709815172879e+04;0,21160112072428519;0,15216229172703261;0,2710399497215378
13128;Metropolitana;Renca;162638;3,17096483558115e+04;0,19497072243763119;0,13152047797714980;0,2584209668981126
13129;Metropolitana;San Joaquín;103586;2,03173633364917e+04;0,19614005113134661;0,13768452489660701;0,2545955773660862
13130;Metropolitana;San Miguel;140870;1,82003040274625e+04;0,12919929032059721;0,08265367826325656;0,1757449023779377
13131;Metropolitana;San Ramón;84926;1,62829041261286e+04;0,19173049626885288;0,13098462328938931;0,2524763692483164
13132;Metropolitana;Vitacura;97546;2,38247536717733e+03;0,02442412161623575;0,00000000000000000;0,0509442805759640
13201;Metropolitana;Puente Alto;661900;1,25234776993863e+05;0,18920498110570039;0,14493899166079069;0,2334709705506102
13202;Metropolitana;Pirque;32041;6,22169667279295e+03;0,19417922888776729;0,13354675076624090;0,2548117070092937
13203;Metropolitana;San José De Maipo;19211;4,68765526240729e+03;0,24400891480960327;0,18034340317161870;0,3076744264475880
13301;Metropolitana;Colina;191338;4,70250602830214e+04;0,24576958201204879;0,17264436360413327;0,3188948004199643
