cut_comuna;comuna;ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc
6307;Peralillo;216417;500000,0;500000,0;216000;500000;213917,0;4;2;4;2;44,3102676721638;8,74254876720467
6308;Placilla;218667;420000,0;421667,0;166000;420000;218667,0;3;2;4;2;43,8638579010073;8,48931355292934
6309;Pumanque;193917;400000,0;400000,0;175000;410000;193917,0;3;2;3;2;45,0627840909091;8,49266759776536
6310;Santa Cruz;226917;400000,0;400000,0;209000;420000;223060,0;4;2;4;2;44,6166678565479;10,03859272707267
7101;Talca;220000;450000,0;480000,0;200000;480000;209778,0;5;3;6;3;37,8377124163965;12,15690396803176
7102;Constitución;198328;400000,0;430000,0;193000;450000;198000,0;4;2;5;3;39,3163810503819;10,20223693220726
7103;Curepto;209778;330000,0;330000,0;300000;385000;209778,0;3;2;3;2;47,8784046692607;7,94268749193236
7104;Empedrado;193000;400000,0;400000,0;193000;400000;193000,0;3;2;4;2;37,1986154213416;9,21096296296296
7105;Maule;193935;450000,0;500000,0;193000;500000;181380,0;4;2;5;3;34,4136811293716;11,65529198518402
7106;Pelarco;199778;400000,0;400000,0;220000;400000;193935,0;4;2;4;2;39,4025820333513;9,35961538461538
7107;Pencahue;211861;385000,0;385000,0;250000;400000;208861,0;3;2;3;2;46,5164057971014;8,30249396621078
7108;Río Claro;208667;400000,0;438333,5;200000;400000;206935,0;4;2;6;3;42,1494859126719;9,53900709219858
7109;San Clemente;184373;400000,0;400000,0;193000;400000;184373,0;3;2;4;2;38,5616866655400;9,24002788320037
7110;San Rafael;204861;400000,0;420000,0;193000;400000;198861,0;3;2;4;2;39,8084815321477;9,19949335022166
7201;Cauquenes;193935;400000,0;400000,0;193000;400000;193935,0;3;2;4;2;42,0835513259968;9,44239991378846
7202;Chanco;150000;400000,0;400000,0;193000;400000;150000,0;3;2;4;2;42,0410206718346;8,86988193921125
7203;Pelluhue;195000;380000,0;380000,0;193000;400000;193935,0;3;2;4;2;42,4939193257074;9,83383426363246
7301;Curicó;200000;400000,0;448000,0;193000;410000;193917,0;4;2;5;3;38,2896109986525;11,01832782102572
7302;Hualañé;209778;400000,0;400000,0;200000;400000;203935,0;4;2;5;3;39,9625464502249;9,90602352382084
7303;Licantén;230058;400000,0;441667,0;193000;400000;199796,0;5;3;6;3;45,9316654753395;9,84934678352902
7304;Molina;200000;400000,0;410000,0;170000;400000;199778,0;4;2;5;3;39,1939989451271;9,92667536472542
7305;Rauco;199889;400000,0;410000,0;158000;400000;199778,0;3;2;4;2;41,3168916580132;9,17236788201557
7306;Romeral;228000;450000,0;450000,0;228000;450000;208861,0;5;3;6;3;36,3618211342996;10,09415195931798
7307;Sagrada Familia;220581;400000,0;410833,0;180000;400000;214528,0;4;2;5;3;41,9506336200316;8,91343229103297
7308;Teno;203945;400000,0;403333,0;193000;400000;203917,0;3;2;4;2;42,6508274306769;8,65617813889315
7309;Vichuquén;214528;400000,0;375000,0;170000;450000;193917,0;3;2;4;2;44,9138645785352;9,03379667484328
7401;Linares;210000;420000,0;450000,0;210000;430000;208667,0;4;2;5;3;40,5211240234755;11,02659806195618
7402;Colbún;183000;400000,0;400000,0;176096;400000;181957,0;3;2;4;2;39,9609547282397;9,12897553912189
7403;Longaví;200000;400000,0;400000,0;200000;400000;200000,0;4;2;5;3;43,7015091056374;9,68858167275736
7404;Parral;193917;410000,0;410000,0;185000;420000;193917,0;3;2;4;2;40,7923109252992;10,53236110736717
7405;Retiro;193935;400000,0;400000,0;184000;400000;193935,0;3;2;4;2;45,1546759215833;8,22149695387293
7406;San Javier;201667;400000,0;410000,0;200000;410000;193935,0;4;2;5;3;40,3668651889248;9,95426478529336
7407;Villa Alegre;209628;400000,0;400000,0;193197;400000;200000,0;4;2;5;3;42,2699293642785;9,29459043891529
7408;Yerbas Buenas;193000;400000,0;400000,0;213605;400000;193000,0;3;2;4;2;38,3623780581235;9,34841224202926
8101;Concepción;276386;500000,0;558333,0;360000;540000;258861,0;5;3;6;3;39,4464981073677;13,27733946803124
8102;Coronel;113892;480000,0;507500,0;193600;500000;100000,0;4;2;5;3;33,7130685818899;11,53297623033144
8103;Chiguayante;204171;500000,0;506667,0;290000;550000;204171,0;5;3;6;3;38,3857934464855;12,58037836168584
8104;Florida;150000;400000,0;400000,0;NA;410000;150000,0;3;2;3;2;41,4851776991747;8,90584415584416
8105;Hualqui;193917;400000,0;400000,0;190000;440000;190000,0;3;2;3;2;41,9972506779150;9,73542786275320
8106;Lota;200000;400000,0;400000,0;300000;400000;200000,0;3;2;4;2;42,6033143107989;10,12331470754088
8107;Penco;219113;400000,0;404167,0;193000;400000;208975,0;4;2;5;3;44,2658680243586;11,27148500298562
8108;San Pedro de la Paz;205833;600000,0;600000,0;350000;650000;204171,0;5;3;6;3;35,9257832188238;12,92261849880558
8109;Santa Juana;150000;400000,0;370000,0;300000;420000;150000,0;3;2;4;2;37,0175686591276;10,54873407248056
8110;Talcahuano;209254;500000,0;500000,0;320000;500000;200000,0;5;3;5;3;41,2880844740919;11,95906734224945
8111;Tomé;199778;400000,0;410000,0;250000;410000;199778,0;4;2;4;2;41,0785217833531;10,99123101451708
8112;Hualpén;230563;500000,0;504167,0;278000;500000;222171,0;5;3;6;3;40,6891521401097;12,06515398264505
8201;Lebu;193917;360000,0;362500,0;400000;400000;193000,0;3;2;4;2;37,4638290031325;10,46293687224469
8202;Arauco;193935;400000,0;450000,0;400000;480000;193935,0;3;2;4;2;38,4615107543480;10,57204839118318
8203;Cañete;137269;350000,0;340000,0;185000;400000;137269,0;2;1;3;2;39,9217237403127;9,32667608317183
8204;Contulmo;199778;360000,0;350000,0;230000;400000;199778,0;3;2;4;2;43,5999370970278;9,56482546988876
8205;Curanilahue;193917;400000,0;400000,0;200000;400000;193917,0;4;2;4;2;41,7875556079309;9,46566825816645
8206;Los Alamos;193917;400000,0;413334,0;190000;400000;161196,0;4;2;4;2;39,4943219187092;9,95087945087945
8207;Tirúa;106000;400000,0;377667,0;180000;400000;106000,0;2;1;3;2;39,8698753837818;9,52105923981281
8301;Los Angeles;198083;445000,0;450000,0;195000;450000;193917,0;4;2;5;3;38,0212263406762;11,02405262291640
8302;Antuco;193935;460000,0;450000,0;140000;500000;193935,0;3;2;3;2;44,9557563122539;9,65115020297700
8303;Cabrero;193917;420000,0;450000,0;400000;450000;153732,0;3;2;4;2;40,1758358908092;9,82597065418355
8304;Laja;203935;416000,0;510000,0;300000;500000;200000,0;4;2;4;2;45,0454070326546;9,61854557936547
8305;Mulchén;177673;400000,0;400000,0;320000;400000;150000,0;3;2;3;2;37,0965098341689;9,76417922540917
8306;Nacimiento;167221;420000,0;410000,0;200000;475000;110914,0;3;2;4;2;38,8421127816864;10,42919913027722
8307;Negrete;200611;400000,0;400000,0;200000;410000;199778,0;3;2;4;2;47,0995535290206;8,55144728502007
