ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc;nivel;cut_comuna;comuna;region
215448,0000;480000,0000;500000,0000;187000,0;500000;214750,0000;5,0000;3,000;4;2;36,3376376376370;11,70724889833302;comuna;13102;Cerrillos;NA
210000,0000;450000,0000;500000,0000;150000,0;500000;210000,0000;5,0000;3,000;4;2;40,4668268106519;10,47138132790637;comuna;13103;Cerro Navia;NA
208817,0000;450000,0000;480000,0000;230000,0;500000;203917,0000;4,0000;2,000;4;2;42,1722755946516;11,42177599129404;comuna;13104;Conchalí;NA
200000,0000;450000,0000;500000,0000;200000,0;500000;200000,0000;4,0000;2,000;3;2;38,4025619118955;11,40437197945492;comuna;13105;El Bosque;NA
326521,0000;480000,0000;500000,0000;200000,0;500000;300000,0000;5,0000;3,000;4;2;36,6336133915410;12,15677970938385;comuna;13106;Estación Central;NA
200000,0000;500000,0000;565667,0000;295000,0;600000;200000,0000;5,0000;3,000;4;2;36,9035037976428;12,27306435463804;comuna;13107;Huechuraba;NA
400000,0000;450000,0000;500000,0000;130000,0;458000;400000,0000;6,0000;3,000;5;3;34,0166961734069;13,22688971703708;comuna;13108;Independencia;NA
320803,0000;596113,5000;600000,0000;193000,0;650000;300000,0000;6,0000;3,000;5;3;38,7728690433895;12,79405031538454;comuna;13109;La Cisterna;NA
318088,0000;600000,0000;600000,0000;350000,0;650000;300000,0000;6,0000;3,000;5;3;39,3821371885490;12,59193745115305;comuna;13110;La Florida;NA
209778,0000;438889,0000;429843,0000;230000,0;480000;200000,0000;4,0000;2,000;3;2;40,7663785108642;10,70458808816618;comuna;13111;La Granja;NA
156000,0000;430000,0000;450000,0000;190000,0;450000;106006,0000;3,0000;2,000;3;2;36,4400325519481;10,23287956427394;comuna;13112;La Pintana;NA
420917,0000;1000000,0000;1159167,0000;400000,0;1200000;400000,0000;8,0000;4,000;8;4;38,7811230513691;14,79302543101286;comuna;13113;La Reina;NA
743000,0000;1400000,0000;1500000,0000;600000,0;1500000;700000,0000;10,0000;5,000;9;5;42,3572021842489;15,58783918747427;comuna;13114;Las Condes;NA
280000,0000;783605,0000;823605,0000;350000,0;700000;150000,0000;9,0000;5,000;8;4;35,6886933602082;14,06383199916831;comuna;13115;Lo Barnechea;NA
199778,0000;424000,0000;458000,0000;193000,0;450000;193917,0000;4,0000;2,000;3;2;39,6678708136312;10,42959944193576;comuna;13116;Lo Espejo;NA
203917,0000;423805,0000;450000,0000;185000,0;450000;199778,0000;4,0000;2,000;3;2;39,4087449345751;11,36936853014144;comuna;13117;Lo Prado;NA
400000,0000;600000,0000;658333,0000;600000,0;650000;367000,0000;6,0000;3,000;6;3;38,9524069583724;13,37165590700947;comuna;13118;Macul;NA
248179,0000;500000,0000;555000,0000;200000,0;550000;214393,0000;6,0000;3,000;5;3;38,0183264389514;12,42664462961877;comuna;13119;Maipú;NA
693470,0000;1200000,0000;1352000,0000;400000,0;1340000;660000,0000;9,0000;5,000;8;4;39,8210421908419;15,60763637508195;comuna;13120;Ñuñoa;NA
243917,0000;450000,0000;480000,0000;205000,0;450000;230000,0000;5,0000;3,000;4;2;38,6566079357455;11,02831502937128;comuna;13121;Pedro Aguirre Cerda;NA
273917,0000;500000,0000;510000,0000;248000,0;500000;260000,0000;6,0000;3,000;5;3;39,3683962037998;12,40974773342048;comuna;13122;Peñalolén;NA
1000000,0000;1500000,0000;1714071,0000;700000,0;1500000;953333,0000;10,0000;5,000;9;5;40,1601698733975;16,25641007499625;comuna;13123;Providencia;NA
236000,0000;500000,0000;550000,0000;170000,0;550000;200000,0000;6,0000;3,000;5;3;37,2902750396399;11,84711282590672;comuna;13124;Pudahuel;NA
208785,0000;480000,0000;500000,0000;200000,0;500000;200000,0000;5,0000;3,000;4;2;33,7724584990810;12,19940354897908;comuna;13125;Quilicura;NA
400000,0000;500000,0000;500000,0000;120000,0;500000;400000,0000;6,0000;3,000;5;3;33,3877841819933;12,81401894451962;comuna;13126;Quinta Normal;NA
260879,0000;450000,0000;500000,0000;200000,0;450000;240000,0000;5,0000;3,000;4;2;38,6190485933513;11,47486351650759;comuna;13127;Recoleta;NA
193000,0000;440000,0000;463333,0000;188000,0;480000;150000,0000;4,0000;2,000;3;2;35,6726167052001;10,87586764441678;comuna;13128;Renca;NA
