cut_comuna;comuna;pobreza_p;pobreza_multi_p
15201;Putre;0,23176962378077101;0,2851834649326521
15202;General Lagos;0,24774774774774774;0,3468468468468469
16101;Chillán;0,10916289312844876;0,1302897582461089
16102;Bulnes;0,15054804771756833;0,0699035964255844
16103;Chillán Viejo;0,08740448184081738;0,1596977762513952
16104;El Carmen;0,09670580560991519;0,1713144161774299
16105;Pemuco;0,21497500290663876;0,2105569119869783
16106;Pinto;0,06605337311453671;0,2160616608652412
16107;Quillón;0,18576143328618577;0,0737597569280738
16108;San Ignacio;0,14467111993741349;0,2517903351988927
16109;Yungay;0,11004324843825083;0,1306529980244540
16201;Quirihue;0,04915351271775579;0,1783757258526212
16202;Cobquecura;0,02341964965727342;0,0986290936785986
16203;Coelemu;0,13363700899195458;0,1913748225272125
16204;Ninhue;0,02954841107600818;0,1022114848541163
16205;Portezuelo;0,09204336265084885;0,2204949887502557
16206;Ranquil;0,18138424821002386;0,2128878281622912
16207;Treguaco;0,00000000000000000;0,2101512254475926
16301;San Carlos;0,15047800137326361;0,1493512209722002
16302;Coihueco;0,11023212241074216;0,2367371014191041
16303;Ñiquén;0,12541168313399204;0,3125325013000520
16304;San Fabián;0,14861726831327846;0,1530504538737598
16305;San Nicolás;0,13354363827549948;0,1977675321523902
2101;Antofagasta;0,07033894829887959;0,1654144245533619
2102;Mejillones;0,03509903864765469;0,1427834053809923
2103;Sierra Gorda;0,05816554809843400;0,1812080536912752
2104;Taltal;0,17436672423719055;0,1577432354634427
2201;Calama;0,07930191721177643;0,1714605518530309
2203;San Pedro de Atacama;0,03631001750990692;0,2358307990047000
2301;Tocopilla;0,15031986710493761;0,2192415085003358
2302;María Elena;0,00000000000000000;0,0620492788461538
3101;Copiapó;0,07657959365929895;0,2016304005587328
3102;Caldera;0,02471819238740332;0,1570034878430976
3103;Tierra Amarilla;0,06022340942204954;0,3576632207035315
3201;Chañaral;0,13472254026410196;0,2423479123731013
3202;Diego de Almagro;0,05075601618513523;0,2020302406474054
3301;Vallenar;0,10794382728987634;0,1576014811709635
3302;Alto del Carmen;0,13149688149688149;0,1779279279279279
3303;Freirina;0,16255778120184899;0,2954545454545455
3304;Huasco;0,13903882987985375;0,1526205815775727
4101;La Serena;0,06075420870252618;0,1286920883683627
4102;Coquimbo;0,07405074613515407;0,1826652156412588
4103;Andacollo;0,11404399323181048;0,2159052453468697
4104;La Higuera;0,03508771929824561;0,2984676882078614
4105;Paiguano;0,03409333049222246;0,1826124014489665
4106;Vicuña;0,06844106463878327;0,1814514795834022
4201;Illapel;0,04540491355777980;0,1649681528662420
4202;Canela;0,05737361023704636;0,2316970841199916
4203;Los Vilos;0,07384423157017909;0,2152436484798001
4204;Salamanca;0,10200499561196247;0,0978194828866536
4301;Ovalle;0,10546085884195069;0,1820637843889696
4302;Combarbalá;0,06562454977668923;0,1967295778706238
4303;Monte Patria;0,14692465480819275;0,2446805253650920
4304;Punitaqui;0,21547273313972248;0,2991287512100678
4305;Río Hurtado;0,08106235565819861;0,3297921478060046
5101;Valparaíso;0,07479492775436485;0,1871080423439695
5102;Casablanca;0,02644551025845990;0,2391420197175593
5103;Concón;0,01714189089218152;0,1245799074211071
