pobreza_p;pobreza_multi_p;nivel;cut_comuna;comuna;comuna_p;region;region_p
0,03131610015249151;0,1586649613852132;comuna;13128;13128;0,08072212110777707;NA;NA
0,05849240602883102;0,2216976122198727;comuna;13129;13129;0,12676573105852137;NA;NA
0,01111000681508405;0,1777530099954566;comuna;13130;13130;0,09321047251249433;NA;NA
0,05497468503473449;0,1822795243141410;comuna;13131;13131;0,15460967855881314;NA;NA
0,00188625087136589;0,0162996678558248;comuna;13132;13132;0,13462090458030918;NA;NA
0,05630717399022518;0,1951020161503539;comuna;13201;13201;0,01994394966044976;NA;NA
0,01266968325791855;0,1845841784989858;comuna;13202;13202;0,41198314869714464;NA;NA
0,06518233366279977;0,2902772720178952;comuna;13203;13203;0,68683348072621342;NA;NA
0,04406338521360106;0,2374175542756797;comuna;13301;13301;0,06951572609727288;NA;NA
0,04277665056125651;0,3134643175149985;comuna;13302;13302;0,09708496941918345;NA;NA
0,10397069464544138;0,2946816208393632;comuna;13303;13303;0,60161903039073805;NA;NA
0,05830301266191239;0,1751913840780090;comuna;13401;13401;0,03900742250036385;NA;NA
0,02391857063248816;0,1538990665923656;comuna;13402;13402;0,11669336862635832;NA;NA
0,02101747520410229;0,2318669455502328;comuna;13403;13403;0,45216247216786992;NA;NA
0,03762998342240410;0,1657411808349080;comuna;13404;13404;0,15538887794020473;NA;NA
0,09426478934879681;0,2078475351655190;comuna;13501;13501;0,09232273637998592;NA;NA
0,13362797348238659;0,3262706356427921;comuna;13502;13502;1,75510204081632648;NA;NA
0,02809495990227840;0,2653353869031813;comuna;13503;13503;0,35856922831802007;NA;NA
0,11306042884990253;0,3163742690058480;comuna;13504;13504;0,87745289148797923;NA;NA
0,12557762464531819;0,1927847588163762;comuna;13505;13505;1,09485204702067285;NA;NA
0,08204299414148376;0,1924041306698673;comuna;13601;13601;0,16162612446673241;NA;NA
0,02983668341708543;0,2496134518747584;comuna;13602;13602;0,32861422497100889;NA;NA
0,01075889955953498;0,2109177557946422;comuna;13603;13603;0,32741232820660937;NA;NA
0,00275143277374854;0,2265304052340620;comuna;13604;13604;0,17249074402799613;NA;NA
0,10275097908109657;0,1231445219218645;comuna;13605;13605;0,12995510554971820;NA;NA
0,14009952425220101;0,2214141193197353;comuna;1401;1401;0,07661180073276098;NA;NA
0,03904555314533623;0,2067968185104845;comuna;1402;1402;1,01373825018076635;NA;NA
0,28136882129277568;0,3498098859315589;comuna;1403;1403;0,88910012674271233;NA;NA
0,15319701395650762;0,4021421616358325;comuna;1404;1404;0,45569620253164556;NA;NA
0,09320388349514563;0,1616504854368932;comuna;1405;1405;0,22734627831715210;NA;NA
0,03514911155177106;0,1356029172429499;comuna;14101;14101;0,07832452939183372;NA;NA
0,06369661266568483;0,1283136966126657;comuna;14102;14102;2,59609720176730496;NA;NA
0,03100558659217877;0,1320670391061453;comuna;14103;14103;0,78787709497206704;NA;NA
0,06547793042969892;0,2737016466920004;comuna;14104;14104;0,68712851992594759;NA;NA
0,08218250744652045;0,3604115894936366;comuna;14105;14105;1,90969401570538855;NA;NA
0,09711972335849534;0,3109264960148442;comuna;14106;14106;0,59486357694091851;NA;NA
0,06295480658751436;0,1599961700497894;comuna;14107;14107;0,67536384527001148;NA;NA
0,10842041245093161;0,2540775142367446;comuna;14108;14108;0,39000387018300436;NA;NA
0,09602582206980029;0,1970193665523502;comuna;14201;14201;0,35810470042364334;NA;NA
0,10357728913685592;0,1738759435510338;comuna;14202;14202;0,93219560223170328;NA;NA
0,03460005831470502;0,4187967732529886;comuna;14203;14203;1,38040625911167258;NA;NA
0,05080424886191199;0,2117754172989378;comuna;14204;14204;0,43107738998482548;NA;NA
0,09241652028011690;0,1875467714873136;comuna;15101;15101;0,05947757725665041;NA;NA
0,29378531073446329;0,2865213882163035;comuna;15102;15102;12,18886198547215471;NA;NA
0,23176962378077101;0,2851834649326521;comuna;15201;15201;7,06038086391082231;NA;NA
0,24774774774774774;0,3468468468468469;comuna;15202;15202;22,82582582582582731;NA;NA
0,10916289312844876;0,1302897582461089;comuna;16101;16101;0,07968228045430925;NA;NA
0,15054804771756833;0,0699035964255844;comuna;16102;16102;0,70880838138838753;NA;NA
0,08740448184081738;0,1596977762513952;comuna;16103;16103;0,46086259694914283;NA;NA
0,09670580560991519;0,1713144161774299;comuna;16104;16104;1,31311154598825830;NA;NA
0,21497500290663876;0,2105569119869783;comuna;16105;16105;1,87245669108243229;NA;NA
0,06605337311453671;0,2160616608652412;comuna;16106;16106;1,33482512846013601;NA;NA
0,18576143328618577;0,0737597569280738;comuna;16107;16107;0,84378437843784382;NA;NA
0,14467111993741349;0,2517903351988927;comuna;16108;16108;0,96936871878197028;NA;NA
0,11004324843825083;0,1306529980244540;comuna;16109;16109;0,86010998985530462;NA;NA
0,04915351271775579;0,1783757258526212;comuna;16201;16201;1,32501840189744002;NA;NA
0,02341964965727342;0,0986290936785986;comuna;16202;16202;3,08492003046458496;NA;NA
